idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
0,26,0,44,61,32,34,85,two
0,26,0,44,61,30,34,77,two
0,26,0,44,61,32,35,64,two
0,26,0,44,63,32,35,66,two
0,26,0,44,63,33,37,67,two
0,26,0,44,61,32,35,64,two
0,26,0,44,63,32,32,64,two
0,26,0,43,61,32,34,66,two
0,26,0,44,63,33,34,64,two
0,26,0,44,63,33,35,64,two
0,28,0,44,63,33,35,64,two
0,28,0,44,63,33,35,64,two
0,28,0,44,63,33,35,66,two
0,28,0,44,61,32,39,63,two
0,28,0,45,61,32,39,63,two
0,28,0,45,60,33,39,64,two
0,28,0,45,58,33,39,66,two
0,28,0,45,58,33,37,64,two
0,26,0,45,56,33,35,63,two
0,26,0,45,56,33,35,63,two
0,25,0,45,55,33,37,63,two
0,25,0,45,56,33,37,63,two
0,24,0,45,55,33,35,63,two
0,25,0,45,55,33,35,64,two
0,25,0,45,55,34,35,64,two
0,25,0,45,56,34,37,63,two
0,25,0,44,56,36,37,63,two
0,25,0,45,58,36,37,64,two
0,25,0,45,56,34,39,66,two
0,26,0,45,56,34,37,67,two
0,26,0,46,56,34,35,66,two
0,28,0,46,58,34,34,66,two
0,28,0,46,56,33,34,66,two
0,28,0,46,56,33,34,67,two
0,28,0,46,58,32,32,67,two
0,28,0,47,60,32,32,67,two
0,28,0,47,61,32,32,67,two
0,28,0,46,61,32,34,66,two
0,28,0,46,66,32,35,66,two
0,28,0,46,65,32,34,66,two
0,28,0,45,65,32,35,66,two
0,26,0,45,65,30,37,67,two
0,26,0,45,65,32,37,66,two
0,26,0,45,65,32,37,64,two
0,26,0,45,65,32,37,63,two
0,26,0,44,63,32,37,63,two
0,26,0,44,61,32,35,64,two
0,26,0,45,61,32,37,64,two
0,28,0,45,58,32,35,66,two
0,28,0,45,60,32,35,64,two
0,28,0,45,60,32,35,63,two
0,28,0,45,60,32,35,63,two
0,28,0,44,58,32,35,61,two
0,26,0,44,58,32,35,63,two
0,26,0,44,56,32,34,64,two
0,25,0,45,56,32,32,64,two
0,25,0,44,58,32,34,66,two
0,25,0,44,58,33,32,66,two
0,25,0,44,58,33,31,66,two
0,25,0,44,58,32,31,67,two
0,26,0,44,58,33,29,67,two
0,26,0,45,58,33,29,67,two
0,25,0,45,60,32,29,69,two
0,26,0,45,60,32,28,71,two
0,28,0,45,60,32,29,69,two
0,26,0,45,60,32,29,69,two
0,26,0,45,60,32,28,67,two
0,28,0,45,60,32,28,67,two
0,26,0,45,61,32,26,66,two
0,26,0,45,60,32,26,66,two
0,26,0,45,60,32,26,66,two
0,26,0,45,60,32,25,66,two
0,26,0,45,60,32,25,64,two
0,25,0,45,58,32,26,64,two
0,25,0,45,58,32,26,64,two
0,26,0,45,58,32,26,63,two
0,26,0,45,58,32,28,63,two
0,26,0,45,58,32,29,63,two
0,26,0,44,56,32,32,64,two
0,26,0,44,58,32,34,63,two
0,26,0,44,58,32,35,63,two
0,28,0,44,58,32,37,63,two
0,29,0,44,56,33,37,63,two
0,29,0,44,58,33,39,63,two
0,29,0,44,58,33,39,63,two
0,29,0,44,58,32,37,64,two
0,29,0,45,56,32,39,64,two
0,29,0,45,56,32,40,64,two
0,29,0,45,55,32,37,64,two
0,29,0,45,53,32,39,64,two
0,29,0,45,53,32,37,66,two
0,29,0,46,53,32,35,66,two
0,28,0,46,53,32,37,66,two
0,28,0,46,51,30,35,67,two
0,28,0,46,51,30,35,64,two
0,28,0,46,51,32,37,63,two
0,28,0,46,53,32,37,63,two
0,28,0,47,53,32,37,67,two
0,28,0,47,56,32,39,67,two
0,26,0,47,56,32,39,67,two
0,26,0,46,58,32,39,67,two
0,26,0,47,56,33,39,67,two
0,26,0,47,58,32,39,66,two
0,26,0,47,58,33,37,64,two
0,26,0,47,58,30,37,66,two
0,26,0,47,56,30,35,66,two
0,26,0,47,56,29,34,67,two
0,26,0,46,56,29,32,63,two
0,26,0,46,56,29,31,63,two
0,26,0,46,55,29,31,63,two
0,26,0,46,55,29,32,59,two
0,26,0,46,55,28,34,61,two
0,26,0,46,56,29,32,61,two
0,26,0,46,56,28,32,59,two
0,26,0,45,55,30,32,59,two
0,26,0,45,56,30,32,61,two
0,26,0,45,58,32,32,61,two
0,25,0,45,56,30,32,59,two
0,25,0,45,56,32,32,59,two
0,25,0,45,58,32,32,61,two
0,25,0,45,58,32,32,61,two
0,25,0,45,60,32,31,59,two
0,25,0,45,60,32,32,61,two
0,24,0,45,58,32,32,63,two
0,25,0,45,60,32,34,64,two
0,24,0,45,58,32,32,64,two
0,24,0,45,56,32,34,63,two
0,25,0,45,55,29,34,63,two
0,24,0,45,55,28,32,63,two
0,22,0,45,56,28,32,61,two
0,20,0,45,56,29,31,63,two
0,20,0,45,56,28,31,63,two
0,20,0,45,56,28,32,64,two
0,21,0,45,56,28,32,63,two
0,22,0,45,58,28,31,63,two
0,22,0,45,58,28,31,61,two
0,22,0,45,58,28,31,61,two
0,20,0,45,56,32,31,61,two
0,21,0,45,58,33,32,61,two
0,24,0,45,58,34,34,61,two
0,28,0,45,56,34,34,61,two
0,26,0,45,56,34,32,59,two
0,26,0,45,56,34,34,59,two
0,26,0,45,56,34,34,59,two
