idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
85,44,93,120,54,33,0,51,ka
82,44,93,120,55,33,0,51,ka
82,44,92,120,55,33,0,49,ka
82,44,93,120,54,33,0,51,ka
82,44,93,121,54,33,0,51,ka
82,44,93,121,54,33,0,51,ka
85,44,93,121,54,33,0,51,ka
87,44,93,121,54,33,0,52,ka
89,44,93,121,54,33,0,52,ka
89,44,93,121,54,33,0,52,ka
89,44,94,121,52,34,0,52,ka
89,44,94,121,52,32,0,52,ka
87,44,94,121,50,30,0,54,ka
87,44,94,121,50,30,0,52,ka
87,44,93,121,52,30,0,52,ka
87,44,93,121,52,30,0,52,ka
87,44,93,120,52,30,0,51,ka
87,44,93,119,52,30,0,51,ka
82,44,93,119,52,30,0,51,ka
82,44,93,119,52,29,0,49,ka
85,45,92,118,55,29,0,49,ka
85,45,93,119,59,32,0,49,ka
87,45,93,119,60,32,0,49,ka
87,45,93,119,60,32,0,51,ka
87,45,93,119,60,33,0,49,ka
89,45,93,119,60,32,0,49,ka
87,45,93,120,60,32,0,49,ka
87,45,93,121,60,33,0,49,ka
89,45,93,121,59,33,0,49,ka
89,45,93,121,59,33,0,47,ka
89,44,93,121,57,33,0,47,ka
87,44,93,120,54,34,0,47,ka
85,44,93,120,52,33,0,47,ka
87,44,93,121,47,33,0,47,ka
87,44,93,121,47,33,0,52,ka
87,44,92,121,47,33,0,52,ka
87,44,92,121,45,33,0,52,ka
87,44,92,122,47,33,0,51,ka
85,44,92,122,47,33,0,52,ka
85,44,91,122,48,33,0,54,ka
82,44,92,121,48,33,0,54,ka
82,44,91,121,48,32,0,54,ka
87,44,92,121,48,32,0,54,ka
87,43,91,121,54,32,0,54,ka
89,43,91,121,52,32,0,47,ka
85,43,91,121,52,32,0,51,ka
85,43,92,121,54,32,0,49,ka
85,43,92,120,52,32,0,51,ka
87,43,92,120,59,32,0,51,ka
87,41,92,120,59,33,0,49,ka
87,43,92,120,59,32,0,46,ka
89,43,92,120,59,33,0,46,ka
87,43,92,121,59,33,0,46,ka
85,41,92,121,59,33,0,47,ka
82,41,92,121,59,33,0,47,ka
82,41,92,121,59,33,0,44,ka
82,41,92,121,59,33,0,46,ka
82,41,92,121,59,33,0,46,ka
80,43,92,121,50,33,0,46,ka
82,43,92,121,50,33,0,46,ka
80,43,92,121,50,33,0,49,ka
80,43,92,121,52,33,0,49,ka
80,43,92,121,50,33,0,49,ka
80,44,92,121,50,33,0,49,ka
78,44,93,121,52,33,0,49,ka
82,44,93,121,52,33,0,49,ka
82,44,93,120,55,33,0,47,ka
82,44,93,121,57,34,0,49,ka
82,44,93,120,57,34,0,49,ka
82,43,93,120,55,38,0,51,ka
82,43,94,120,55,38,0,51,ka
82,43,94,120,55,36,0,49,ka
82,43,93,120,57,36,0,49,ka
85,43,93,120,55,36,0,51,ka
87,43,94,120,55,36,0,49,ka
85,43,93,120,59,33,0,49,ka
82,43,93,120,60,34,0,49,ka
85,43,93,120,60,33,0,49,ka
85,43,93,120,60,33,0,49,ka
85,43,93,120,59,29,0,47,ka
85,43,93,119,59,32,0,47,ka
87,41,93,119,59,32,0,47,ka
87,41,93,120,57,32,0,47,ka
87,41,93,120,55,33,0,47,ka
87,41,92,120,55,33,0,42,ka
87,41,92,120,54,33,0,44,ka
89,41,92,120,47,33,0,46,ka
89,41,92,120,47,33,0,46,ka
89,43,93,120,43,33,0,44,ka
89,41,92,120,45,33,0,44,ka
87,41,93,120,48,30,0,46,ka
85,43,93,120,48,30,0,47,ka
76,43,93,120,50,30,0,47,ka
73,43,93,120,50,30,0,47,ka
73,43,93,120,50,30,0,52,ka
73,43,93,119,52,32,0,52,ka
71,43,93,118,50,37,0,52,ka
73,41,92,119,48,36,0,51,ka
76,41,91,118,52,36,0,49,ka
73,41,92,118,52,36,0,49,ka
73,41,92,118,48,36,0,49,ka
76,41,92,118,48,36,0,49,ka
85,43,92,118,48,36,0,51,ka
85,43,92,118,48,36,0,52,ka
85,43,92,119,48,36,0,51,ka
80,44,92,119,48,36,0,51,ka
82,43,92,119,48,32,0,51,ka
76,44,92,120,48,32,0,52,ka
76,44,93,120,48,32,0,52,ka
76,44,93,120,48,32,0,54,ka
76,44,93,120,50,32,0,52,ka
76,43,92,120,50,32,0,52,ka
82,43,92,119,48,32,0,52,ka
85,43,92,119,48,32,0,49,ka
85,43,92,119,48,32,0,51,ka
87,43,92,119,48,32,0,49,ka
